Jerry Stackhouse,34
2001,"['Derek Fisher', ""Shaquille O'Neal"", 'Raja Bell', 'Jumaine Jones']"
2000,"['Derek Fisher', ""Shaquille O'Neal"", 'Jalen Rose']"
1999,"['Mario Elie', 'Chris Dudley', 'Kurt Thomas']"
1998,"['Randy Brown', 'Jud Buechler', 'Luc Longley', 'Howard Eisley']"
1997,"['Randy Brown', 'Jud Buechler', 'Luc Longley', 'Howard Eisley']"
1996,"['Randy Brown', 'Jud Buechler', 'Luc Longley']"
1995,"['Mario Elie', 'Anfernee Hardaway', ""Shaquille O'Neal""]"
1994,['Mario Elie']
1993,"['Scott Williams', 'Kevin Johnson', 'Dan Majerle', 'Oliver Miller', 'Mark West']"
1992,"['Scott Williams', 'Clifford Robinson']"
1991,['Scott Williams']
1990,['Clifford Robinson']
Antonio Daniels,32
2021,"['Chris Paul', 'Jrue Holiday']"
2020,"['JaVale McGee', 'Andre Iguodala']"
2019,"['Jodie Meeks', 'Andre Iguodala']"
2018,"['Andre Iguodala', 'JaVale McGee', 'David West', 'Nick Young']"
2017,"['Andre Iguodala', 'JaVale McGee', 'David West']"
2016,"['Andre Iguodala', 'Marreese Speights']"
2015,"['Andre Iguodala', 'Marreese Speights', 'Brendan Haywood']"
2014,"['Tim Duncan', 'Tony Parker', 'Ray Allen', 'Rashard Lewis', 'Roger Mason']"
2013,"['Ray Allen', 'Rashard Lewis', 'Tim Duncan', 'Stephen Jackson', 'Tony Parker']"
2012,['Nick Collison']
2011,"['Caron Butler', 'Tyson Chandler', 'Brendan Haywood', 'DeShawn Stevenson', 'Peja Stojaković']"
2010,"['Ray Allen', 'Rasheed Wallace']"
2009,"['Vladimir Radmanović', 'Rashard Lewis']"
2008,"['Ray Allen', 'James Posey', 'Ira Newble', 'Vladimir Radmanović']"
2007,"['Brent Barry', 'Bruce Bowen', 'Tim Duncan', 'Melvin Ely', 'Tony Parker', 'Ira Newble']"
2006,"['Derek Anderson', 'Jason Kapono', 'James Posey']"
2005,"['Brent Barry', 'Bruce Bowen', 'Devin Brown', 'Tim Duncan', 'Sean Marks', 'Tony Massenburg', 'Tony Parker', 'Malik Rose', 'Rasheed Wallace']"
2004,"['Chucky Atkins', 'Rasheed Wallace']"
2003,"['Bruce Bowen', 'Devin Brown', 'Tim Duncan', 'Danny Ferry', 'Stephen Jackson', 'Steve Kerr', 'Tony Parker', 'David Robinson', 'Malik Rose', 'Steve Smith']"
2002,"['Samaki Walker', 'Derrick Dial']"
2001,['George Lynch']
2000,['Dale Davis']
1999,"['Tim Duncan', 'Mario Elie', 'Sean Elliott', 'Andrew Gaze', 'Jaren Jackson', 'Avery Johnson', 'Steve Kerr', 'Jerome Kersey', 'Gerard King', 'Will Perdue', 'David Robinson', 'Malik Rose', 'Brandon Williams', 'Chris Dudley']"
1998,"['Steve Kerr', 'Scottie Pippen']"
1997,"['Steve Kerr', 'Scottie Pippen']"
1996,"['Steve Kerr', 'Scottie Pippen']"
1995,"['Chucky Brown', 'Pete Chilcutt', 'Mario Elie', 'Otis Thorpe']"
1994,"['Mario Elie', 'Larry Robinson', 'Otis Thorpe']"
1993,"['Will Perdue', 'Scottie Pippen']"
